key,title,authors,year,type,url,doi,claim,access,access_date
jones2026,A.I. and Our Economic Future,"Jones, Charles I.",2026,techreport,https://www.nber.org/papers/w34779,10.3386/w34779,Weak links and production structure condition aggregate growth.,Primary landing page and abstract; full text not independently verified,2026-09-08
korinekstiglitz2026,Steering Technological Progress,"Korinek, Anton and Stiglitz, Joseph E.",2026,techreport,https://www.nber.org/papers/w34994,10.3386/w34994,Redistribution and the direction of technological change are complementary policy questions.,Primary landing page and abstract; full text not independently verified,2026-09-08
guerreiro2022,Should Robots Be Taxed?,"Guerreiro, Joao and Rebelo, Sergio and Teles, Pedro",2022,article,https://www.nber.org/papers/w23806,10.1093/restud/rdab019,Temporary robot taxation can follow from transition and worker mobility frictions.,Primary landing page and abstract; full text not independently verified,2026-09-08
brollo2024,Broadening the Gains from Generative AI: The Role of Fiscal Policies,"Brollo, Fernanda and Dabla-Norris, Era and de Mooij, Ruud and Garcia-Macia, Daniel and Hanappi, Tibor and Liu, Li and Nguyen, Anh D. M.",2024,techreport,https://www.elibrary.imf.org/view/journals/006/2024/002/article-A001-en.xml,10.5089/9798400277177.006,"Fiscal insurance, capital taxation and adaptive institutions remain relevant under AI.",Official HTML article and metadata,2026-09-08
rockall2025,AI Adoption and Inequality,"Rockall, Emma J. and Mendes Tavares, Marina and Pizzinelli, Carlo",2025,techreport,https://www.elibrary.imf.org/view/journals/001/2025/068/article-A001-en.xml,10.5089/9798229006828.001,AI adoption interacts with capital ownership and heterogeneous income distribution.,Official HTML article and metadata,2026-09-08
jonesmarinescu2020,The Labor Market Impacts of Universal and Permanent Cash Transfers: Evidence from the Alaska Permanent Fund,"Jones, Damon and Marinescu, Ioana",2020,techreport,https://www.nber.org/papers/w24312,10.3386/w24312,Alaska dividend evidence cannot identify nationwide money-financed post-work UBI effects.,Primary landing page and abstract; full text not independently verified,2026-09-08
bibler2023,Universal Cash Transfers and Labor Market Outcomes,"Bibler, Andrew and Guettabi, Mouhcine and Reimer, Matthew N.",2023,article,https://onlinelibrary.wiley.com/doi/abs/10.1002/pam.22455,10.1002/pam.22455,Alaska estimates include offsetting labour-demand and labour-supply responses; effects vary by design and horizon.,Primary landing page and abstract; full text not independently verified,2026-09-08
meidner1981,Collective Asset Formation through Wage-Earner Funds,"Meidner, Rudolf",1981,article,https://researchrepository.ilo.org/esploro/outputs/journalArticle/Collective-asset-formation-through-wage-earner-funds/995219245602676,,Gradual collective capital accumulation predates usownership; historical novelty constraint.,ILO author/article metadata and abstract,2026-09-08
pontusson1992,Swedish Wage-Earner Funds: An Experiment in Economic Democracy,"Pontusson, Jonas and Kuruvilla, Sarosh",1992,article,https://journals.sagepub.com/doi/10.1177/001979399204500412,10.1177/001979399204500412,Implemented Swedish funds used payroll/profit taxation; holdings and duration limited their influence.,Primary landing page and abstract; full text not independently verified,2026-09-08
furendal2024,"Work, Justice, and Collective Capital Institutions: Revisiting Rudolf Meidner and the Case for Wage-Earner Funds","Furendal, Markus and O'Neill, Martin",2024,article,https://onlinelibrary.wiley.com/doi/full/10.1111/japp.12631,10.1111/japp.12631,Ownership distribution also reallocates control; firm-specific rights differ from collective funds.,HTML and parsed PDF; web PDF screenshots failed (cache miss),2026-09-08
windfall2020,The Windfall Clause: Distributing the Benefits of AI for the Common Good,"O'Keefe, Cullen and Cihon, Peter and Garfinkel, Ben and Flynn, Carrick and Leung, Jade and Dafoe, Allan",2020,misc,https://www.governance.ai/research-paper/the-windfall-clause-distributing-the-benefits-of-ai-for-the-common-good,,Ex ante sharing of exceptional AI profits predates this study; not the same as permanent user equity.,"Primary report description; report dated January 30, 2020",2026-09-08
dataaslabour2018,Should We Treat Data as Labor? Moving beyond ``Free'',"Arrieta-Ibarra, Imanol and Goff, Leonard and Jimenez-Hernandez, Diego and Lanier, Jaron and Weyl, E. Glen",2018,article,https://www.aeaweb.org/articles?id=10.1257/pandp.20181003,10.1257/pandp.20181003,"User-data compensation has direct precedents, but compensation is distinct from permanent equity.",Primary landing page and abstract; full text not independently verified,2026-09-08
ghorbani2019,Data Shapley: Equitable Valuation of Data for Machine Learning,"Ghorbani, Amirata and Zou, James",2019,inproceedings,https://proceedings.mlr.press/v97/ghorbani19c.html,,Data valuation is task/model-specific; it does not measure all ecosystem contribution or legal ownership entitlement.,Primary landing page and abstract; full text not independently verified,2026-09-08
databright2018,DataBright: Towards a Global Exchange for Decentralized Data Ownership and Trusted Computation,"Dao, David and Alistarh, Dan and Musat, Claudiu and Zhang, Ce",2018,misc,https://arxiv.org/abs/1802.04780,,Contributor share/dividend proposals are prior art; prototype/preprint rather than proven macro outcome.,Primary landing page and abstract; full text not independently verified,2026-09-08
circles2026,Personal Currency: Issuance and Demurrage,{{Circles}},2026,misc,https://docs.aboutcircles.com/overview/how-it-works/personal-currency,,Personal token issuance and 7 percent annual demurrage already coexist; nonsovereign and not corporate equity.,Live first-party technical documentation,2026-09-08
auer2021,Central Bank Digital Currency: The Quest for Minimally Invasive Technology,"Auer, Raphael and Boehme, Rainer",2021,techreport,https://www.bis.org/publications/working-paper-948-central-bank-digital-currency-quest-minimally-invasive-technology,,CBDC design need not use permissionless blockchain; privacy and intermediation constraints are central.,Official summary and abstract,2026-09-08
bidder2025,CBDC and Banks: Disintermediating Fast and Slow,"Bidder, Rhys and Jackson, Timothy and Rottner, Matthias",2025,techreport,https://www.bis.org/publications/working-paper-1280-cbdc-and-banks-disintermediating-fast-and-slow,,CBDC run risk and deposit substitution require separate banking analysis; holding limits can matter.,Official summary and abstract,2026-09-08
bindseil2025,Modeling Central Bank Digital Currencies,"Bindseil, Ulrich and Senner, Richard",2025,article,https://onlinelibrary.wiley.com/doi/full/10.1111/joes.12686,10.1111/joes.12686,CBDC modelling must be consistent with central-bank operations.,Primary landing page and abstract; full text not independently verified,2026-09-08
eurostat2026,Provision of Deficit and Debt Data for 2025: First Notification,{{Eurostat}},2026,misc,https://ec.europa.eu/eurostat/web/products-euro-indicators/w/2-22042026-ap,,"EU27 2025 GDP EUR18.826635tn; expenditure49.5%, revenue46.4%, debt81.7%. Separate EA20 denominators.","Official HTML data table, April 22, 2026",2026-09-08
population2026,EU Population Reaches 452.0 Million on 1 January 2026,{{Eurostat}},2026,misc,https://ec.europa.eu/eurostat/en/web/products-eurostat-news/w/ddn-20260710-3,,"Rounded resident count for unit scaling, not an adult population estimate.","Official release, July 10, 2026",2026-09-08
ecbpilot2026,Digital Euro Pilot,{{European Central Bank}},2026,misc,https://www.ecb.europa.eu/euro/digital_euro/pilot/html/index.en.html,,"12-month pilot planned for H2 2027; possible first issuance in2029 conditional on legislation, not already live.",Live official project page,2026-09-08
tfeu123,"Consolidated Treaty on the Functioning of the European Union, Article 123",{{European Union}},2016,misc,https://eur-lex.europa.eu/eli/treaty/tfeu_2016/art_123/oj/eng,,Prohibits specified central-bank public-sector credit facilities and direct debt purchases.,Official treaty text in force,2026-09-08
bundesbank2026,Frequently Asked Questions on the Digital Euro,{{Deutsche Bundesbank}},2026,misc,https://www.bundesbank.de/en/tasks/payment-systems/digital-euro/faq-digital-euro,,Programmable payment functions are distinct from issuer restrictions on what money can buy.,Live official FAQ,2026-09-08
esamethod,"ESA Supply, Use and Input-Output Tables: Methodology",{{Eurostat}},2026,misc,https://ec.europa.eu/eurostat/web/esa-supply-use-input-tables/methodology,,"Taxes on production and imports include VAT and other domestic taxes, not only border tariffs.",Official methodological guidance,2026-09-08
katz2026,The Macroeconomic Effects of Generative AI,"Katz, Raul and Jung, Juan",2026,article,https://www.sciencedirect.com/science/article/pii/S0954349X26000937,10.1016/j.strueco.2026.05.013,Study of 67 countries in 2022-2025 finds productivity enhancement but modest observed macro effects; not evidence of full automation.,Primary publisher abstract/highlights via search; author institutional record corroborates metadata; full-text open failed,2026-09-08
bearerfriend2025,Sharing the Algorithm: The Tax Solution to Generative AI,"Bearer-Friend, Jeremy and Polcz, Sarah",2025,article,https://journals.library.columbia.edu/index.php/taxlaw/article/view/14478,10.52214/cjtl.v17i1.14478,One-time in-kind equity tax on generative-AI firms is direct prior work on public AI ownership; differs from recurring participant-weighted user grants.,"Official journal abstract and bibliographic record, published 30 December 2025",2026-09-08
jackson2026,The Economic Benefits and Costs of AI and Policies to Mitigate AI's Impact on Inequality,"Jackson, Matthew O. and Kanik, Zafer",2026,misc,https://arxiv.org/abs/2607.01101,10.48550/arXiv.2607.01101,"Heterogeneous labour exposure and competition versus monopoly alter distributional and policy outcomes; a preprint, not a forecast.","Primary arXiv abstract, July 2026; University of Glasgow record corroborates unrefereed status",2026-09-08
thuemmel2023,Optimal Taxation of Robots,"Thuemmel, Uwe",2023,article,https://academic.oup.com/jeea/article/21/3/1154/6798383,10.1093/jeea/jvac062,Optimal robot taxation can change sign; most gains in its calibrated setting arise from income-tax reform. Full text inspected.,Full text inspected.,2026-09-08
minniti2025,AI Innovation and the Labor Share in European Regions,"Minniti, Antonio and Prettner, Klaus and Venturini, Francesco",2025,article,https://www.sciencedirect.com/science/article/pii/S0014292125000935,10.1016/j.euroecorev.2025.105043,"Regional AI innovation is associated with labour-share changes, heterogeneous across skills. Primary abstract and full HTML inspected; do not equate patents with future full automation.",Primary abstract and full HTML inspected; do not equate patents with future full automation.,2026-09-08
brynjolfsson2025,Generative AI at Work,"Brynjolfsson, Erik and Li, Danielle and Raymond, Lindsey",2025,article,https://doi.org/10.1093/qje/qjae044,10.1093/qje/qjae044,"Study of 5,172 support agents finds 15 percent productivity improvement; single-firm results do not identify aggregate employment or wage effects. Primary full HTML.",Primary full HTML.,2026-09-08
juhasz2024,The New Economics of Industrial Policy,"Juh\'{a}sz, R\'{e}ka and Lane, Nathan and Rodrik, Dani",2024,article,https://www.annualreviews.org/content/journals/10.1146/annurev-economics-081023-024638,10.1146/annurev-economics-081023-024638,"Industrial policy has contextual, sometimes persistent productive effects; subsidies are not inherently wasteful transfers. Full primary HTML inspected.",Full primary HTML inspected.,2026-09-08
oboyle2016,Employee Ownership and Firm Performance: A Meta-Analysis,"O'Boyle, Ernest H. and Patel, Pankaj C. and Gonzalez-Mul\'{e}, Erik",2016,article,https://onlinelibrary.wiley.com/doi/10.1111/1748-8583.12115,10.1111/1748-8583.12115,"102 samples and 56,984 firms: small positive association, not an estimated productivity gain for user ownership. Primary abstract.",Primary abstract.,2026-09-08
jones2020data,Nonrivalry and the Economics of Data,"Jones, Charles I. and Tonetti, Christopher",2020,article,https://www.gsb.stanford.edu/faculty-research/publications/nonrivalry-economics-data,10.1257/aer.20191330,"Nonrival data, ownership incentives and privacy; user corporate shares are not identical to data licensing rights. Authors institution abstract and NBER record.",Authors institution abstract and NBER record.,2026-09-08
acemoglutax2020,Does the US Tax Code Favor Automation?,"Acemoglu, Daron and Manera, Andrea and Restrepo, Pascual",2020,techreport,https://www.nber.org/papers/w27052,10.3386/w27052,Tax incentives can bias factor choice; a stronger tax benchmark reforms the existing bias. Primary abstract and metadata.,Primary abstract and metadata.,2026-09-08
grossmanhart1986,The Costs and Benefits of Ownership: A Theory of Vertical and Lateral Integration,"Grossman, Sanford J. and Hart, Oliver D.",1986,article,https://www.journals.uchicago.edu/doi/10.1086/261404,10.1086/261404,"Ownership concerns residual control under incomplete contracts; changing control also distorts incentives. Primary abstract, not full-text access.","Primary abstract, not full-text access.",2026-09-08
taxtrends2026,Data on Taxation Trends: 2026 Update,"{European Commission, Directorate-General for Taxation and Customs Union}",2026,misc,https://taxation-customs.ec.europa.eu/taxation/economic-analysis/data-taxation-trends_en,,"2024 EU tax/GDP 39.4 percent; labour share of receipts 51.5 percent. Static denominator-consistent illustration only. Updated 31 March 2026, official page inspected.","Updated 31 March 2026, official page inspected.",2026-09-08
wirkierman2023,Structural Economic Dynamics in Actual Industrial Economies,"Wirkierman, Ariel Luis",2023,article,https://www.sciencedirect.com/science/article/pii/S0954349X23000012,10.1016/j.strueco.2023.01.001,"Computable structural accounting links demand, wages, productivity and intervention; primary journal content and author institutional record inspected.","Computable structural accounting links demand, wages, productivity and intervention; primary journal content and author institutional record inspected.",2026-09-08
gualerzi2026,Structural Change: Expansion or Stagnation?,"Gualerzi, Davide",2026,article,https://www.sciencedirect.com/science/article/pii/S0954349X26000329,10.1016/j.strueco.2026.02.009,Demand and market creation are central to expansive structural change; primary journal abstract/highlights.,Demand and market creation are central to expansive structural change; primary journal abstract/highlights.,2026-09-08
dosi2022,"Technological Paradigms, Labour Creation and Destruction in a Multi-Sector Agent-Based Model","Dosi, Giovanni and Pereira, Marcelo C. and Roventini, Andrea and Virgillito, Maria Enrica",2022,article,https://www.sciencedirect.com/science/article/pii/S0048733322000889,10.1016/j.respol.2022.104565,"Existing multisector ABM shows how distributive institutions shape technological unemployment; primary abstract and author institution record, not full text.","Existing multisector ABM shows how distributive institutions shape technological unemployment; primary abstract and author institution record, not full text.",2026-09-08
